Sep 07 18:04:58.356 DEBG begin change check, db_mod: 0, folder_mod: 1599494585
Sep 07 18:04:58.367 DEBG begin media sync
Sep 07 18:04:58.608 DEBG server usn was 766
Sep 07 18:04:58.608 DEBG differs from local usn 0, fetching changes
Sep 07 18:04:58.608 DEBG fetching record batch, start_usn: 0
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: a75b4a0e, lsha: , fname: 4b9423c6b1af4f43a11fd741384d91ed-oa-2-A.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: a97414c8, lsha: , fname: 4b9423c6b1af4f43a11fd741384d91ed-oa-4-Q.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 451da25e, lsha: , fname: 4b9423c6b1af4f43a11fd741384d91ed-oa-O.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 98b0daf7, lsha: , fname: 4b9423c6b1af4f43a11fd741384d91ed-oa-6-Q.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 5e68710f, lsha: , fname: tmped0K8_.png
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 34d55b6e, lsha: , fname: 63f1170d14814683a0f4efebf4f8536b-oa-4-A.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 6086f213, lsha: , fname: 4b9423c6b1af4f43a11fd741384d91ed-oa-8-Q.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 438cefc4, lsha: , fname: 63f1170d14814683a0f4efebf4f8536b-oa-2-Q.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 7750c4fe, lsha: , fname: tmpNcQDDp.png
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 34d55b6e, lsha: , fname: 63f1170d14814683a0f4efebf4f8536b-oa-2-A.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: a75b4a0e, lsha: , fname: 4b9423c6b1af4f43a11fd741384d91ed-oa-8-A.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 192e56d6, lsha: , fname: 63f1170d14814683a0f4efebf4f8536b-oa-4-Q.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: d14716bf, lsha: , fname: 4b9423c6b1af4f43a11fd741384d91ed-oa-9-Q.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 34d55b6e, lsha: , fname: 63f1170d14814683a0f4efebf4f8536b-oa-5-A.svg
Sep 07 18:04:58.776 DEBG determine action, action: Download, state: NotInDB, rsha: 44437870, lsha: , fname: 63f1170d14814683a0f4efebf4f8536b-oa-3-Q.svg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 6227107f, lsha: , fname: 63f1170d14814683a0f4efebf4f8536b-oa-1-Q.svg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 34d55b6e, lsha: , fname: 63f1170d14814683a0f4efebf4f8536b-oa-3-A.svg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 7a1c5dd0, lsha: , fname: 63f1170d14814683a0f4efebf4f8536b-oa-5-Q.svg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: a75b4a0e, lsha: , fname: 4b9423c6b1af4f43a11fd741384d91ed-oa-9-A.svg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 34d55b6e, lsha: , fname: 63f1170d14814683a0f4efebf4f8536b-oa-1-A.svg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: cd9d2aa9, lsha: , fname: 63f1170d14814683a0f4efebf4f8536b-oa-O.svg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 77be9dc2, lsha: , fname: e33189f0-b7bf-4859-94db-e21c82f27540.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: d92e88bc, lsha: , fname: 43786_33188650.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: b32b1ff8, lsha: , fname: 156840_42447438.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 069e0214, lsha: , fname: s1867.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 57eea905, lsha: , fname: 132140_39187436.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: ac062a85, lsha: , fname: Langerhanssche_Insel.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 56cb7bd8, lsha: , fname: Gastric_signet_ring_cell_carcinoma_histopatholgy_(2)_PAS_stain.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 0454fbe6, lsha: , fname: paste-298762220077751.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 1367f0ee, lsha: , fname: paste-308215443096246.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: cef0ac26, lsha: , fname: paste-310792423473846.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 78189331, lsha: , fname: paste-308297047474870.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 1081db25, lsha: , fname: paste-305848916116150.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 7d29093c, lsha: , fname: paste-302962698093238.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: ab7ead04, lsha: , fname: paste-309692911846070.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 785d2b02, lsha: , fname: paste-310925567460022.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 8c7ac56f, lsha: , fname: paste-310758063735478.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 05590699, lsha: , fname: paste-305591218078390.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 866e09ca, lsha: , fname: paste-306845348528822.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 152d2484, lsha: , fname: paste-300574696276662.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: a4f82383, lsha: , fname: paste-309680026944182.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 343c798f, lsha: , fname: paste-305960585265846.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 37d49d46, lsha: , fname: paste-305479548928694.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 0cb8c53e, lsha: , fname: paste-308584810283702.jpg
